Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
C:\Users\OZKANB\RoboND-Python-StarterKit\Udacity_Robotics_Project1\IMG\robocam_2017_09_05_15_03_23_497.jpg;0;1;0;1.609606;45.04911;95.37613;1.262142;354.2852;-0.0009920589
C:\Users\OZKANB\RoboND-Python-StarterKit\Udacity_Robotics_Project1\IMG\robocam_2017_09_05_15_03_23_538.jpg;0;1;0;1.640427;45.11535;95.36923;1.264392;354.2777;-0.0009938744
C:\Users\OZKANB\RoboND-Python-StarterKit\Udacity_Robotics_Project1\IMG\robocam_2017_09_05_15_03_23_579.jpg;0;1;0;1.671188;45.21704;95.35863;1.27014;354.2661;-0.00102873
C:\Users\OZKANB\RoboND-Python-StarterKit\Udacity_Robotics_Project1\IMG\robocam_2017_09_05_15_03_23_656.jpg;0;1;0;1.731652;45.32139;95.34774;1.271975;354.2562;-0.001036096
C:\Users\OZKANB\RoboND-Python-StarterKit\Udacity_Robotics_Project1\IMG\robocam_2017_09_05_15_03_23_698.jpg;0;1;0;1.763093;45.39251;95.3403;1.274996;354.2496;-0.001062411
C:\Users\OZKANB\RoboND-Python-StarterKit\Udacity_Robotics_Project1\IMG\robocam_2017_09_05_15_03_23_739.jpg;0;1;0;1.792742;45.50149;95.32888;1.281362;354.2386;-0.001092036
C:\Users\OZKANB\RoboND-Python-StarterKit\Udacity_Robotics_Project1\IMG\robocam_2017_09_05_15_03_23_817.jpg;0;1;0;1.854165;45.61314;95.31716;1.285092;354.2268;-0.001095827
C:\Users\OZKANB\RoboND-Python-StarterKit\Udacity_Robotics_Project1\IMG\robocam_2017_09_05_15_03_23_897.jpg;0;1;0;1.913914;45.76624;95.30105;1.291531;354.2115;-0.001112109
C:\Users\OZKANB\RoboND-Python-StarterKit\Udacity_Robotics_Project1\IMG\robocam_2017_09_05_15_03_23_938.jpg;0;1;0;1.944664;45.84454;95.29279;1.292486;354.2046;-0.001114565
C:\Users\OZKANB\RoboND-Python-StarterKit\Udacity_Robotics_Project1\IMG\robocam_2017_09_05_15_03_24_014.jpg;0;1;0;2.004576;46.00481;95.27586;1.299594;354.1897;-0.001151663
